 >REASHP: option FROM_FILE
       650 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02435  -0.06320  -0.04650 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    350    3    9   10 1 1 1
    351    3   10    1 1 1 1
    352    3   10    2 1 1 1
    353    3   10    3 1 1 1
    354    3   10    4 1 1 1
    355    3   10    5 1 1 1
    356    3   10    6 1 1 1
    357    3   10    7 1 1 1
    358    3   10    8 1 1 1
    359    3   10    9 1 1 1
    360    3   10   10 1 1 1
    361    3   11    1 1 1 1
    362    3   11    2 1 1 1
    363    3   11    3 1 1 1
    364    3   11    4 1 1 1
    365    3   11    5 1 1 1
    366    3   11    6 1 1 1
    367    3   11    7 1 1 1
    368    3   11    8 1 1 1
    369    3   11    9 1 1 1
    370    3   11   10 1 1 1
    371    3   12    1 1 1 1
    372    3   12    2 1 1 1
    373    3   12    3 1 1 1
    374    3   12    4 1 1 1
    375    3   12    5 1 1 1
    376    3   12    6 1 1 1
    377    3   12    7 1 1 1
    378    3   12    8 1 1 1
    379    3   12    9 1 1 1
    380    3   12   10 1 1 1
    381    3   13    1 1 1 1
    382    3   13    2 1 1 1
    383    3   13    3 1 1 1
    384    3   13    4 1 1 1
    385    3   13    5 1 1 1
    386    3   13    6 1 1 1
    387    3   13    7 1 1 1
    388    3   13    8 1 1 1
    389    3   13    9 1 1 1
    390    3   13   10 1 1 1
    391    4    1    1 1 1 1
    392    4    1    2 1 1 1
    393    4    1    3 1 1 1
    394    4    1    4 1 1 1
    395    4    1    5 1 1 1
    396    4    1    6 1 1 1
    397    4    1    7 1 1 1
    398    4    1    8 1 1 1
    399    4    1    9 1 1 1
    400    4    1   10 1 1 1
    401    4    2    1 1 1 1
    402    4    2    2 1 1 1
    403    4    2    3 1 1 1
    404    4    2    4 1 1 1
    405    4    2    5 1 1 1
    406    4    2    6 1 1 1
    407    4    2    7 1 1 1
    408    4    2    8 1 1 1
    409    4    2    9 1 1 1
    410    4    2   10 1 1 1
    411    4    3    1 1 1 1
    412    4    3    2 1 1 1
    413    4    3    3 1 1 1
    414    4    3    4 1 1 1
    415    4    3    5 1 1 1
    416    4    3    6 1 1 1
    417    4    3    7 1 1 1
    418    4    3    8 1 1 1
    419    4    3    9 1 1 1
