 >TARREC   rectangular prism; AX,AY,AZ= 16.0000 16.0000 16.0000
      4096 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000  -8.50000  -8.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    488   8  15   2 1 1 1
    489   9  15   2 1 1 1
    490  10  15   2 1 1 1
    491  11  15   2 1 1 1
    492  12  15   2 1 1 1
    493  13  15   2 1 1 1
    494  14  15   2 1 1 1
    495  15  15   2 1 1 1
    496  16  15   2 1 1 1
    497   1  16   2 1 1 1
    498   2  16   2 1 1 1
    499   3  16   2 1 1 1
    500   4  16   2 1 1 1
    501   5  16   2 1 1 1
    502   6  16   2 1 1 1
    503   7  16   2 1 1 1
    504   8  16   2 1 1 1
    505   9  16   2 1 1 1
    506  10  16   2 1 1 1
    507  11  16   2 1 1 1
    508  12  16   2 1 1 1
    509  13  16   2 1 1 1
    510  14  16   2 1 1 1
    511  15  16   2 1 1 1
    512  16  16   2 1 1 1
    513   1   1   3 1 1 1
    514   2   1   3 1 1 1
    515   3   1   3 1 1 1
    516   4   1   3 1 1 1
    517   5   1   3 1 1 1
    518   6   1   3 1 1 1
    519   7   1   3 1 1 1
    520   8   1   3 1 1 1
    521   9   1   3 1 1 1
    522  10   1   3 1 1 1
    523  11   1   3 1 1 1
    524  12   1   3 1 1 1
    525  13   1   3 1 1 1
    526  14   1   3 1 1 1
    527  15   1   3 1 1 1
    528  16   1   3 1 1 1
    529   1   2   3 1 1 1
    530   2   2   3 1 1 1
    531   3   2   3 1 1 1
    532   4   2   3 1 1 1
    533   5   2   3 1 1 1
    534   6   2   3 1 1 1
    535   7   2   3 1 1 1
    536   8   2   3 1 1 1
    537   9   2   3 1 1 1
    538  10   2   3 1 1 1
    539  11   2   3 1 1 1
    540  12   2   3 1 1 1
    541  13   2   3 1 1 1
    542  14   2   3 1 1 1
    543  15   2   3 1 1 1
    544  16   2   3 1 1 1
    545   1   3   3 1 1 1
    546   2   3   3 1 1 1
    547   3   3   3 1 1 1
    548   4   3   3 1 1 1
    549   5   3   3 1 1 1
    550   6   3   3 1 1 1
    551   7   3   3 1 1 1
    552   8   3   3 1 1 1
    553   9   3   3 1 1 1
    554  10   3   3 1 1 1
    555  11   3   3 1 1 1
    556  12   3   3 1 1 1
    557  13   3   3 1 1 1
    558  14   3   3 1 1 1
    559  15   3   3 1 1 1
    560  16   3   3 1 1 1
    561   1   4   3 1 1 1
    562   2   4   3 1 1 1
    563   3   4   3 1 1 1
    564   4   4   3 1 1 1
    565   5   4   3 1 1 1
    566   6   4   3 1 1 1
    567   7   4   3 1 1 1
    568   8   4   3 1 1 1
    569   9   4   3 1 1 1
    570  10   4   3 1 1 1
    571  11   4   3 1 1 1
    572  12   4   3 1 1 1
    573  13   4   3 1 1 1
    574  14   4   3 1 1 1
    575  15   4   3 1 1 1
    576  16   4   3 1 1 1
    577   1   5   3 1 1 1
    578   2   5   3 1 1 1
    579   3   5   3 1 1 1
    580   4   5   3 1 1 1
    581   5   5   3 1 1 1
    582   6   5   3 1 1 1
    583   7   5   3 1 1 1
    584   8   5   3 1 1 1
    585   9   5   3 1 1 1
