 >REASHP: option FROM_FILE
      5130 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02285  -0.13055  -0.18760 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    572    1   16    2 1 1 1
    573    1   16    3 1 1 1
    574    1   16    4 1 1 1
    575    1   16    5 1 1 1
    576    1   16    6 1 1 1
    577    1   16    7 1 1 1
    578    1   16    8 1 1 1
    579    1   16    9 1 1 1
    580    1   16   10 1 1 1
    581    1   16   11 1 1 1
    582    1   16   12 1 1 1
    583    1   16   13 1 1 1
    584    1   16   14 1 1 1
    585    1   16   15 1 1 1
    586    1   16   16 1 1 1
    587    1   16   17 1 1 1
    588    1   16   18 1 1 1
    589    1   16   19 1 1 1
    590    1   16   20 1 1 1
    591    1   16   21 1 1 1
    592    1   16   22 1 1 1
    593    1   16   23 1 1 1
    594    1   16   24 1 1 1
    595    1   16   25 1 1 1
    596    1   16   26 1 1 1
    597    1   16   27 1 1 1
    598    1   16   28 1 1 1
    599    1   16   29 1 1 1
    600    1   16   30 1 1 1
    601    1   16   31 1 1 1
    602    1   16   32 1 1 1
    603    1   16   33 1 1 1
    604    1   16   34 1 1 1
    605    1   16   35 1 1 1
    606    1   16   36 1 1 1
    607    1   16   37 1 1 1
    608    1   16   38 1 1 1
    609    1   17    1 1 1 1
    610    1   17    2 1 1 1
    611    1   17    3 1 1 1
    612    1   17    4 1 1 1
    613    1   17    5 1 1 1
    614    1   17    6 1 1 1
    615    1   17    7 1 1 1
    616    1   17    8 1 1 1
    617    1   17    9 1 1 1
    618    1   17   10 1 1 1
    619    1   17   11 1 1 1
    620    1   17   12 1 1 1
    621    1   17   13 1 1 1
    622    1   17   14 1 1 1
    623    1   17   15 1 1 1
    624    1   17   16 1 1 1
    625    1   17   17 1 1 1
    626    1   17   18 1 1 1
    627    1   17   19 1 1 1
    628    1   17   20 1 1 1
    629    1   17   21 1 1 1
    630    1   17   22 1 1 1
    631    1   17   23 1 1 1
    632    1   17   24 1 1 1
    633    1   17   25 1 1 1
    634    1   17   26 1 1 1
    635    1   17   27 1 1 1
    636    1   17   28 1 1 1
    637    1   17   29 1 1 1
    638    1   17   30 1 1 1
    639    1   17   31 1 1 1
    640    1   17   32 1 1 1
    641    1   17   33 1 1 1
    642    1   17   34 1 1 1
    643    1   17   35 1 1 1
    644    1   17   36 1 1 1
    645    1   17   37 1 1 1
    646    1   17   38 1 1 1
    647    1   18    1 1 1 1
    648    1   18    2 1 1 1
    649    1   18    3 1 1 1
    650    1   18    4 1 1 1
    651    1   18    5 1 1 1
    652    1   18    6 1 1 1
    653    1   18    7 1 1 1
    654    1   18    8 1 1 1
    655    1   18    9 1 1 1
    656    1   18   10 1 1 1
    657    1   18   11 1 1 1
    658    1   18   12 1 1 1
    659    1   18   13 1 1 1
    660    1   18   14 1 1 1
    661    1   18   15 1 1 1
    662    1   18   16 1 1 1
    663    1   18   17 1 1 1
    664    1   18   18 1 1 1
    665    1   18   19 1 1 1
    666    1   18   20 1 1 1
    667    1   18   21 1 1 1
    668    1   18   22 1 1 1
    669    1   18   23 1 1 1
    670    1   18   24 1 1 1
    671    1   18   25 1 1 1
    672    1   18   26 1 1 1
    673    1   18   27 1 1 1
    674    1   18   28 1 1 1
    675    1   18   29 1 1 1
    676    1   18   30 1 1 1
    677    1   18   31 1 1 1
    678    1   18   32 1 1 1
    679    1   18   33 1 1 1
    680    1   18   34 1 1 1
    681    1   18   35 1 1 1
    682    1   18   36 1 1 1
    683    1   18   37 1 1 1
    684    1   18   38 1 1 1
    685    1   19    1 1 1 1
    686    1   19    2 1 1 1
    687    1   19    3 1 1 1
    688    1   19    4 1 1 1
    689    1   19    5 1 1 1
    690    1   19    6 1 1 1
    691    1   19    7 1 1 1
    692    1   19    8 1 1 1
    693    1   19    9 1 1 1
    694    1   19   10 1 1 1
    695    1   19   11 1 1 1
    696    1   19   12 1 1 1
    697    1   19   13 1 1 1
    698    1   19   14 1 1 1
    699    1   19   15 1 1 1
    700    1   19   16 1 1 1
    701    1   19   17 1 1 1
    702    1   19   18 1 1 1
    703    1   19   19 1 1 1
    704    1   19   20 1 1 1
    705    1   19   21 1 1 1
    706    1   19   22 1 1 1
    707    1   19   23 1 1 1
    708    1   19   24 1 1 1
    709    1   19   25 1 1 1
    710    1   19   26 1 1 1
    711    1   19   27 1 1 1
    712    1   19   28 1 1 1
    713    1   19   29 1 1 1
    714    1   19   30 1 1 1
    715    1   19   31 1 1 1
    716    1   19   32 1 1 1
    717    1   19   33 1 1 1
    718    1   19   34 1 1 1
    719    1   19   35 1 1 1
    720    1   19   36 1 1 1
    721    1   19   37 1 1 1
    722    1   19   38 1 1 1
    723    1   20    1 1 1 1
    724    1   20    2 1 1 1
    725    1   20    3 1 1 1
    726    1   20    4 1 1 1
    727    1   20    5 1 1 1
    728    1   20    6 1 1 1
    729    1   20    7 1 1 1
    730    1   20    8 1 1 1
    731    1   20    9 1 1 1
    732    1   20   10 1 1 1
    733    1   20   11 1 1 1
    734    1   20   12 1 1 1
    735    1   20   13 1 1 1
    736    1   20   14 1 1 1
    737    1   20   15 1 1 1
    738    1   20   16 1 1 1
    739    1   20   17 1 1 1
    740    1   20   18 1 1 1
    741    1   20   19 1 1 1
    742    1   20   20 1 1 1
    743    1   20   21 1 1 1
    744    1   20   22 1 1 1
    745    1   20   23 1 1 1
    746    1   20   24 1 1 1
    747    1   20   25 1 1 1
    748    1   20   26 1 1 1
    749    1   20   27 1 1 1
    750    1   20   28 1 1 1
    751    1   20   29 1 1 1
    752    1   20   30 1 1 1
    753    1   20   31 1 1 1
    754    1   20   32 1 1 1
    755    1   20   33 1 1 1
    756    1   20   34 1 1 1
    757    1   20   35 1 1 1
    758    1   20   36 1 1 1
    759    1   20   37 1 1 1
    760    1   20   38 1 1 1
    761    1   21    1 1 1 1
    762    1   21    2 1 1 1
    763    1   21    3 1 1 1
    764    1   21    4 1 1 1
    765    1   21    5 1 1 1
    766    1   21    6 1 1 1
    767    1   21    7 1 1 1
    768    1   21    8 1 1 1
    769    1   21    9 1 1 1
    770    1   21   10 1 1 1
    771    1   21   11 1 1 1
    772    1   21   12 1 1 1
    773    1   21   13 1 1 1
    774    1   21   14 1 1 1
    775    1   21   15 1 1 1
    776    1   21   16 1 1 1
    777    1   21   17 1 1 1
    778    1   21   18 1 1 1
    779    1   21   19 1 1 1
    780    1   21   20 1 1 1
    781    1   21   21 1 1 1
    782    1   21   22 1 1 1
    783    1   21   23 1 1 1
    784    1   21   24 1 1 1
    785    1   21   25 1 1 1
    786    1   21   26 1 1 1
    787    1   21   27 1 1 1
    788    1   21   28 1 1 1
    789    1   21   29 1 1 1
    790    1   21   30 1 1 1
    791    1   21   31 1 1 1
    792    1   21   32 1 1 1
    793    1   21   33 1 1 1
    794    1   21   34 1 1 1
    795    1   21   35 1 1 1
    796    1   21   36 1 1 1
    797    1   21   37 1 1 1
    798    1   21   38 1 1 1
    799    1   22    1 1 1 1
    800    1   22    2 1 1 1
    801    1   22    3 1 1 1
    802    1   22    4 1 1 1
    803    1   22    5 1 1 1
    804    1   22    6 1 1 1
    805    1   22    7 1 1 1
    806    1   22    8 1 1 1
    807    1   22    9 1 1 1
    808    1   22   10 1 1 1
    809    1   22   11 1 1 1
    810    1   22   12 1 1 1
    811    1   22   13 1 1 1
