>GEOMETRY   sphere; AX,AY,AZ= 0.4466 0.4466 0.4466
     41472 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 0.00000 0.00000 0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     263  2  22  23 1 1 1
     264  2  22  24 1 1 1
     265  2  22  25 1 1 1
     266  2  22  26 1 1 1
     267  2  22  28 1 1 1
     268  2  22  29 1 1 1
     269  2  22  30 1 1 1
     270  2  22  31 1 1 1
     271  2  23  13 1 1 1
     272  2  23  14 1 1 1
     273  2  23  15 1 1 1
     274  2  23  16 1 1 1
     275  2  23  17 1 1 1
     276  2  23  18 1 1 1
     277  2  23  19 1 1 1
     278  2  23  20 1 1 1
     279  2  23  21 1 1 1
     280  2  23  22 1 1 1
     281  2  23  23 1 1 1
     282  2  23  24 1 1 1
     283  2  23  25 1 1 1
     284  2  23  26 1 1 1
     285  2  23  28 1 1 1
     286  2  23  29 1 1 1
     287  2  23  30 1 1 1
     288  2  23  31 1 1 1
     289  2  24  13 1 1 1
     290  2  24  14 1 1 1
     291  2  24  15 1 1 1
     292  2  24  16 1 1 1
     293  2  24  17 1 1 1
     294  2  24  18 1 1 1
     295  2  24  19 1 1 1
     296  2  24  20 1 1 1
     297  2  24  21 1 1 1
     298  2  24  22 1 1 1
     299  2  24  23 1 1 1
     300  2  24  24 1 1 1
     301  2  24  25 1 1 1
     302  2  24  26 1 1 1
     303  2  24  28 1 1 1
     304  2  24  29 1 1 1
     305  2  24  30 1 1 1
     306  2  24  31 1 1 1
     307  2  25  14 1 1 1
     308  2  25  15 1 1 1
     309  2  25  16 1 1 1
     310  2  25  17 1 1 1
     311  2  25  18 1 1 1
     312  2  25  19 1 1 1
     313  2  25  20 1 1 1
     314  2  25  21 1 1 1
     315  2  25  22 1 1 1
     316  2  25  23 1 1 1
     317  2  25  24 1 1 1
     318  2  25  25 1 1 1
     319  2  25  26 1 1 1
     320  2  25  28 1 1 1
     321  2  25  29 1 1 1
     322  2  25  30 1 1 1
     323  2  26  14 1 1 1
     324  2  26  15 1 1 1
     325  2  26  16 1 1 1
     326  2  26  17 1 1 1
     327  2  26  18 1 1 1
     328  2  26  19 1 1 1
     329  2  26  20 1 1 1
     330  2  26  21 1 1 1
     331  2  26  22 1 1 1
     332  2  26  23 1 1 1
     333  2  26  24 1 1 1
     334  2  26  25 1 1 1
     335  2  26  26 1 1 1
     336  2  26  28 1 1 1
     337  2  26  29 1 1 1
     338  2  26  30 1 1 1
     339  2  28  15 1 1 1
     340  2  28  16 1 1 1
     341  2  28  17 1 1 1
     342  2  28  18 1 1 1
     343  2  28  19 1 1 1
     344  2  28  20 1 1 1
     345  2  28  21 1 1 1
     346  2  28  22 1 1 1
     347  2  28  23 1 1 1
     348  2  28  24 1 1 1
     349  2  28  25 1 1 1
     350  2  28  26 1 1 1
     351  2  28  28 1 1 1
     352  2  28  29 1 1 1
     353  2  29  16 1 1 1
     354  2  29  17 1 1 1
     355  2  29  18 1 1 1
     356  2  29  19 1 1 1
     357  2  29  20 1 1 1
     358  2  29  21 1 1 1
     359  2  29  22 1 1 1
     360  2  29  23 1 1 1
     361  2  29  24 1 1 1
     362  2  29  25 1 1 1
     363  2  29  26 1 1 1
     364  2  29  28 1 1 1
     365  2  30  17 1 1 1
     366  2  30  18 1 1 1
     367  2  30  19 1 1 1
     368  2  30  20 1 1 1
     369  2  30  21 1 1 1
     370  2  30  22 1 1 1
     371  2  30  23 1 1 1
     372  2  30  24 1 1 1
     373  2  30  25 1 1 1
     374  2  30  26 1 1 1
     375  2  31  19 1 1 1
     376  2  31  20 1 1 1
     377  2  31  21 1 1 1
     378  2  31  22 1 1 1
     379  2  31  23 1 1 1
     380  2  31  24 1 1 1
     381  3  11  19 1 1 1
     382  3  11  20 1 1 1
     383  3  11  21 1 1 1
     384  3  11  22 1 1 1
     385  3  11  23 1 1 1
     386  3  11  24 1 1 1
     387  3  12  17 1 1 1
     388  3  12  18 1 1 1
     389  3  12  19 1 1 1
     390  3  12  20 1 1 1
     391  3  12  21 1 1 1
     392  3  12  22 1 1 1
     393  3  12  23 1 1 1
     394  3  12  24 1 1 1
     395  3  12  25 1 1 1
     396  3  12  26 1 1 1
     397  3  13  15 1 1 1
     398  3  13  16 1 1 1
     399  3  13  17 1 1 1
     400  3  13  18 1 1 1
     401  3  13  19 1 1 1
     402  3  13  20 1 1 1
     403  3  13  21 1 1 1
     404  3  13  22 1 1 1
     405  3  13  23 1 1 1
     406  3  13  24 1 1 1
     407  3  13  25 1 1 1
     408  3  13  26 1 1 1
     409  3  13  28 1 1 1
     410  3  13  29 1 1 1
     411  3  14  14 1 1 1
     412  3  14  15 1 1 1
     413  3  14  16 1 1 1
     414  3  14  17 1 1 1
