 >TARREC   rectangular prism; AX,AY,AZ= 10.0000 10.0000 41.9000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -5.50000 -21.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    346   6   5   4 1 1 1
    347   7   5   4 1 1 1
    348   8   5   4 1 1 1
    349   9   5   4 1 1 1
    350  10   5   4 1 1 1
    351   1   6   4 1 1 1
    352   2   6   4 1 1 1
    353   3   6   4 1 1 1
    354   4   6   4 1 1 1
    355   5   6   4 1 1 1
    356   6   6   4 1 1 1
    357   7   6   4 1 1 1
    358   8   6   4 1 1 1
    359   9   6   4 1 1 1
    360  10   6   4 1 1 1
    361   1   7   4 1 1 1
    362   2   7   4 1 1 1
    363   3   7   4 1 1 1
    364   4   7   4 1 1 1
    365   5   7   4 1 1 1
    366   6   7   4 1 1 1
    367   7   7   4 1 1 1
    368   8   7   4 1 1 1
    369   9   7   4 1 1 1
    370  10   7   4 1 1 1
    371   1   8   4 1 1 1
    372   2   8   4 1 1 1
    373   3   8   4 1 1 1
    374   4   8   4 1 1 1
    375   5   8   4 1 1 1
    376   6   8   4 1 1 1
    377   7   8   4 1 1 1
    378   8   8   4 1 1 1
    379   9   8   4 1 1 1
    380  10   8   4 1 1 1
    381   1   9   4 1 1 1
    382   2   9   4 1 1 1
    383   3   9   4 1 1 1
    384   4   9   4 1 1 1
    385   5   9   4 1 1 1
    386   6   9   4 1 1 1
    387   7   9   4 1 1 1
    388   8   9   4 1 1 1
    389   9   9   4 1 1 1
    390  10   9   4 1 1 1
    391   1  10   4 1 1 1
    392   2  10   4 1 1 1
    393   3  10   4 1 1 1
    394   4  10   4 1 1 1
    395   5  10   4 1 1 1
    396   6  10   4 1 1 1
    397   7  10   4 1 1 1
    398   8  10   4 1 1 1
    399   9  10   4 1 1 1
    400  10  10   4 1 1 1
    401   1   1   5 1 1 1
    402   2   1   5 1 1 1
    403   3   1   5 1 1 1
    404   4   1   5 1 1 1
    405   5   1   5 1 1 1
    406   6   1   5 1 1 1
    407   7   1   5 1 1 1
    408   8   1   5 1 1 1
    409   9   1   5 1 1 1
    410  10   1   5 1 1 1
    411   1   2   5 1 1 1
    412   2   2   5 1 1 1
    413   3   2   5 1 1 1
    414   4   2   5 1 1 1
    415   5   2   5 1 1 1
    416   6   2   5 1 1 1
    417   7   2   5 1 1 1
    418   8   2   5 1 1 1
    419   9   2   5 1 1 1
    420  10   2   5 1 1 1
    421   1   3   5 1 1 1
    422   2   3   5 1 1 1
    423   3   3   5 1 1 1
    424   4   3   5 1 1 1
    425   5   3   5 1 1 1
    426   6   3   5 1 1 1
    427   7   3   5 1 1 1
    428   8   3   5 1 1 1
    429   9   3   5 1 1 1
    430  10   3   5 1 1 1
    431   1   4   5 1 1 1
    432   2   4   5 1 1 1
    433   3   4   5 1 1 1
    434   4   4   5 1 1 1
    435   5   4   5 1 1 1
    436   6   4   5 1 1 1
    437   7   4   5 1 1 1
    438   8   4   5 1 1 1
    439   9   4   5 1 1 1
    440  10   4   5 1 1 1
    441   1   5   5 1 1 1
    442   2   5   5 1 1 1
    443   3   5   5 1 1 1
    444   4   5   5 1 1 1
    445   5   5   5 1 1 1
    446   6   5   5 1 1 1
    447   7   5   5 1 1 1
    448   8   5   5 1 1 1
    449   9   5   5 1 1 1
    450  10   5   5 1 1 1
    451   1   6   5 1 1 1
    452   2   6   5 1 1 1
