 >TARELL  ellipsoidal grain; AX,AY,AZ= 20.0000 20.0000 20.0000
      4224 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    592    3    2   -6 1 1 1
    593    4    2   -6 1 1 1
    594    5    2   -6 1 1 1
    595    6    2   -6 1 1 1
    596    7    2   -6 1 1 1
    597   -8    3   -6 1 1 1
    598   -7    3   -6 1 1 1
    599   -6    3   -6 1 1 1
    600   -5    3   -6 1 1 1
    601   -4    3   -6 1 1 1
    602   -3    3   -6 1 1 1
    603   -2    3   -6 1 1 1
    604   -1    3   -6 1 1 1
    605    0    3   -6 1 1 1
    606    1    3   -6 1 1 1
    607    2    3   -6 1 1 1
    608    3    3   -6 1 1 1
    609    4    3   -6 1 1 1
    610    5    3   -6 1 1 1
    611    6    3   -6 1 1 1
    612    7    3   -6 1 1 1
    613   -7    4   -6 1 1 1
    614   -6    4   -6 1 1 1
    615   -5    4   -6 1 1 1
    616   -4    4   -6 1 1 1
    617   -3    4   -6 1 1 1
    618   -2    4   -6 1 1 1
    619   -1    4   -6 1 1 1
    620    0    4   -6 1 1 1
    621    1    4   -6 1 1 1
    622    2    4   -6 1 1 1
    623    3    4   -6 1 1 1
    624    4    4   -6 1 1 1
    625    5    4   -6 1 1 1
    626    6    4   -6 1 1 1
    627   -6    5   -6 1 1 1
    628   -5    5   -6 1 1 1
    629   -4    5   -6 1 1 1
    630   -3    5   -6 1 1 1
    631   -2    5   -6 1 1 1
    632   -1    5   -6 1 1 1
    633    0    5   -6 1 1 1
    634    1    5   -6 1 1 1
    635    2    5   -6 1 1 1
    636    3    5   -6 1 1 1
    637    4    5   -6 1 1 1
    638    5    5   -6 1 1 1
    639   -5    6   -6 1 1 1
    640   -4    6   -6 1 1 1
    641   -3    6   -6 1 1 1
    642   -2    6   -6 1 1 1
    643   -1    6   -6 1 1 1
    644    0    6   -6 1 1 1
    645    1    6   -6 1 1 1
    646    2    6   -6 1 1 1
    647    3    6   -6 1 1 1
    648    4    6   -6 1 1 1
    649   -4    7   -6 1 1 1
    650   -3    7   -6 1 1 1
    651   -2    7   -6 1 1 1
    652   -1    7   -6 1 1 1
    653    0    7   -6 1 1 1
    654    1    7   -6 1 1 1
    655    2    7   -6 1 1 1
    656    3    7   -6 1 1 1
    657   -3   -9   -5 1 1 1
    658   -2   -9   -5 1 1 1
    659   -1   -9   -5 1 1 1
    660    0   -9   -5 1 1 1
    661    1   -9   -5 1 1 1
    662    2   -9   -5 1 1 1
    663   -5   -8   -5 1 1 1
    664   -4   -8   -5 1 1 1
    665   -3   -8   -5 1 1 1
    666   -2   -8   -5 1 1 1
    667   -1   -8   -5 1 1 1
    668    0   -8   -5 1 1 1
    669    1   -8   -5 1 1 1
    670    2   -8   -5 1 1 1
    671    3   -8   -5 1 1 1
    672    4   -8   -5 1 1 1
    673   -6   -7   -5 1 1 1
    674   -5   -7   -5 1 1 1
    675   -4   -7   -5 1 1 1
    676   -3   -7   -5 1 1 1
    677   -2   -7   -5 1 1 1
    678   -1   -7   -5 1 1 1
    679    0   -7   -5 1 1 1
    680    1   -7   -5 1 1 1
    681    2   -7   -5 1 1 1
    682    3   -7   -5 1 1 1
    683    4   -7   -5 1 1 1
    684    5   -7   -5 1 1 1
    685   -7   -6   -5 1 1 1
    686   -6   -6   -5 1 1 1
    687   -5   -6   -5 1 1 1
    688   -4   -6   -5 1 1 1
